t;U;U
[s];[V];[V]

2,450;0,00;0,02
2,460;0,01;0,01
2,470;0,01;0,01
2,480;0,01;0,01
2,490;0,02;0,01
2,500;0,02;0,00
2,510;0,02;-0,00
2,520;0,02;-0,00
2,530;0,03;-0,01
2,540;0,03;-0,01
2,550;0,03;-0,01
2,560;0,03;-0,01
2,570;0,04;-0,02
2,580;0,04;-0,02
2,590;0,04;-0,02
2,600;0,05;-0,03
2,610;0,05;-0,03
2,620;0,05;-0,03
2,630;0,06;-0,03
2,640;0,06;-0,04
2,650;0,06;-0,04
2,660;0,07;-0,04
2,670;0,07;-0,04
2,680;0,07;-0,05
2,690;0,07;-0,05
2,700;0,08;-0,05
2,710;0,08;-0,05
2,720;0,08;-0,05
2,730;0,09;-0,06
2,740;0,09;-0,06
2,750;0,09;-0,06
2,760;0,09;-0,06
2,770;0,09;-0,06
2,780;0,10;-0,07
2,790;0,10;-0,07
2,800;0,10;-0,07
2,810;0,11;-0,07
2,820;0,11;-0,07
2,830;0,11;-0,07
2,840;0,11;-0,07
2,850;0,11;-0,07
2,860;0,11;-0,07
2,870;0,11;-0,08
2,880;0,11;-0,08
2,890;0,11;-0,08
2,900;0,11;-0,08
2,910;0,11;-0,08
2,920;0,11;-0,08
2,930;0,11;-0,08
2,940;0,11;-0,08
2,950;0,11;-0,08
2,960;0,11;-0,08
2,970;0,11;-0,08
2,980;0,11;-0,08
2,990;0,11;-0,08
3,000;0,11;-0,08
3,010;0,10;-0,08
3,020;0,10;-0,08
3,030;0,10;-0,08
3,040;0,10;-0,08
3,050;0,10;-0,08
3,060;0,09;-0,08
3,070;0,09;-0,07
3,080;0,09;-0,07
3,090;0,09;-0,07
3,100;0,08;-0,07
3,110;0,08;-0,07
3,120;0,08;-0,07
3,130;0,08;-0,07
3,140;0,07;-0,07
3,150;0,07;-0,06
3,160;0,07;-0,06
3,170;0,07;-0,06
3,180;0,06;-0,06
3,190;0,06;-0,06
3,200;0,06;-0,06
3,210;0,05;-0,05
3,220;0,05;-0,05
3,230;0,05;-0,05
3,240;0,04;-0,05
3,250;0,04;-0,04
3,260;0,04;-0,04
3,270;0,03;-0,04
3,280;0,03;-0,03
3,290;0,03;-0,03
3,300;0,02;-0,03
3,310;0,02;-0,03
3,320;0,02;-0,03
3,330;0,01;-0,03
3,340;0,01;-0,02
3,350;0,01;-0,02
3,360;0,00;-0,02
3,370;0,00;-0,01
3,380;-0,00;-0,01
3,390;-0,00;-0,01
3,400;-0,01;-0,01
3,410;-0,01;-0,00
3,420;-0,01;-0,00
3,430;-0,02;0,00
3,440;-0,02;0,00
3,450;-0,02;0,01
3,460;-0,02;0,01
3,470;-0,03;0,01
3,480;-0,03;0,01
3,490;-0,03;0,01
3,500;-0,03;0,02
3,510;-0,04;0,02
3,520;-0,04;0,02
3,530;-0,04;0,03
3,540;-0,04;0,03
3,550;-0,04;0,03
3,560;-0,05;0,03
3,570;-0,05;0,03
3,580;-0,05;0,03
3,590;-0,05;0,04
3,600;-0,06;0,04
