t;U;U
[s];[V];[V]

2,470;0,10;0,12
2,480;0,11;0,12
2,490;0,11;0,12
2,500;0,11;0,12
2,510;0,11;0,13
2,520;0,11;0,13
2,530;0,11;0,13
2,540;0,12;0,13
2,550;0,12;0,13
2,560;0,12;0,13
2,570;0,12;0,13
2,580;0,12;0,13
2,590;0,12;0,13
2,600;0,12;0,13
2,610;0,12;0,13
2,620;0,12;0,13
2,630;0,12;0,13
2,640;0,12;0,13
2,650;0,12;0,13
2,660;0,12;0,12
2,670;0,12;0,12
2,680;0,12;0,12
2,690;0,12;0,12
2,700;0,12;0,12
2,710;0,12;0,12
2,720;0,12;0,11
2,730;0,11;0,11
2,740;0,11;0,11
2,750;0,11;0,11
2,760;0,11;0,10
2,770;0,11;0,10
2,780;0,10;0,10
2,790;0,10;0,09
2,800;0,10;0,09
2,810;0,09;0,09
2,820;0,09;0,09
2,830;0,09;0,08
2,840;0,08;0,08
2,850;0,08;0,08
2,860;0,08;0,07
2,870;0,07;0,07
2,880;0,07;0,07
2,890;0,07;0,06
2,900;0,06;0,06
2,910;0,06;0,06
2,920;0,05;0,05
2,930;0,05;0,05
2,940;0,05;0,05
2,950;0,04;0,04
2,960;0,04;0,04
2,970;0,03;0,04
2,980;0,03;0,03
2,990;0,02;0,03
3,000;0,02;0,02
3,010;0,01;0,02
3,020;0,01;0,02
3,030;0,00;0,01
3,040;-0,00;0,01
3,050;-0,00;0,01
3,060;-0,01;0,00
3,070;-0,02;-0,00
3,080;-0,02;-0,00
3,090;-0,03;-0,01
3,100;-0,03;-0,01
3,110;-0,03;-0,02
3,120;-0,04;-0,02
3,130;-0,04;-0,03
3,140;-0,05;-0,03
3,150;-0,05;-0,03
3,160;-0,05;-0,04
3,170;-0,06;-0,04
3,180;-0,06;-0,04
3,190;-0,07;-0,05
3,200;-0,07;-0,05
3,210;-0,08;-0,05
3,220;-0,08;-0,06
3,230;-0,08;-0,06
3,240;-0,09;-0,06
3,250;-0,09;-0,07
3,260;-0,09;-0,07
3,270;-0,10;-0,07
3,280;-0,10;-0,08
3,290;-0,11;-0,08
3,300;-0,11;-0,08
3,310;-0,11;-0,08
3,320;-0,12;-0,09
3,330;-0,12;-0,09
3,340;-0,12;-0,09
3,350;-0,13;-0,09
3,360;-0,13;-0,10
3,370;-0,13;-0,10
3,380;-0,13;-0,10
3,390;-0,13;-0,10
3,400;-0,14;-0,10
3,410;-0,14;-0,10
3,420;-0,14;-0,11
3,430;-0,14;-0,11
3,440;-0,15;-0,11
3,450;-0,15;-0,11
3,460;-0,15;-0,11
3,470;-0,15;-0,11
3,480;-0,15;-0,11
3,490;-0,15;-0,12
3,500;-0,15;-0,12
3,510;-0,15;-0,12
3,520;-0,15;-0,12
3,530;-0,15;-0,12
3,540;-0,15;-0,12
3,550;-0,16;-0,12
3,560;-0,15;-0,12
3,570;-0,15;-0,12
3,580;-0,15;-0,12
3,590;-0,15;-0,12
3,600;-0,15;-0,12
3,610;-0,15;-0,12
3,620;-0,15;-0,12
3,630;-0,15;-0,12
3,640;-0,15;-0,12
3,650;-0,15;-0,12
3,660;-0,15;-0,11
3,670;-0,15;-0,11
3,680;-0,14;-0,11
3,690;-0,14;-0,11
3,700;-0,14;-0,11
3,710;-0,14;-0,11
3,720;-0,14;-0,11
3,730;-0,14;-0,11
3,740;-0,13;-0,10
3,750;-0,13;-0,10
3,760;-0,13;-0,10
3,770;-0,13;-0,10
3,780;-0,13;-0,09
3,790;-0,12;-0,09
3,800;-0,12;-0,09
3,810;-0,12;-0,09
3,820;-0,12;-0,08
3,830;-0,11;-0,08
3,840;-0,11;-0,08
