t;U;U
[s];[V];[V]

6,120;0,03;0,04
6,130;0,03;0,04
6,140;0,03;0,05
6,150;0,04;0,05
6,160;0,04;0,05
6,170;0,05;0,05
6,180;0,05;0,06
6,190;0,05;0,06
6,200;0,06;0,06
6,210;0,06;0,07
6,220;0,06;0,07
6,230;0,07;0,07
6,240;0,07;0,07
6,250;0,07;0,07
6,260;0,08;0,08
6,270;0,08;0,08
6,280;0,08;0,08
6,290;0,09;0,09
6,300;0,09;0,09
6,310;0,09;0,09
6,320;0,10;0,09
6,330;0,10;0,10
6,340;0,10;0,10
6,350;0,10;0,10
6,360;0,10;0,10
6,370;0,11;0,10
6,380;0,11;0,10
6,390;0,11;0,11
6,400;0,11;0,11
6,410;0,11;0,11
6,420;0,11;0,11
6,430;0,11;0,11
6,440;0,11;0,11
6,450;0,12;0,11
6,460;0,12;0,11
6,470;0,12;0,11
6,480;0,12;0,11
6,490;0,12;0,11
6,500;0,12;0,12
6,510;0,11;0,12
6,520;0,11;0,12
6,530;0,11;0,12
6,540;0,11;0,12
6,550;0,11;0,12
6,560;0,11;0,11
6,570;0,11;0,11
6,580;0,11;0,11
6,590;0,10;0,11
6,600;0,10;0,11
6,610;0,10;0,11
6,620;0,10;0,11
6,630;0,10;0,10
6,640;0,10;0,10
6,650;0,09;0,10
6,660;0,09;0,10
6,670;0,09;0,10
6,680;0,09;0,09
6,690;0,08;0,09
6,700;0,08;0,09
6,710;0,08;0,09
6,720;0,08;0,09
6,730;0,07;0,09
6,740;0,07;0,08
6,750;0,07;0,08
6,760;0,06;0,08
6,770;0,06;0,08
6,780;0,06;0,07
6,790;0,05;0,07
6,800;0,05;0,07
6,810;0,05;0,07
6,820;0,04;0,06
6,830;0,04;0,06
6,840;0,03;0,05
6,850;0,03;0,05
6,860;0,03;0,05
6,870;0,02;0,05
6,880;0,02;0,04
6,890;0,01;0,04
6,900;0,01;0,03
6,910;0,00;0,03
6,920;-0,00;0,03
6,930;-0,01;0,02
6,940;-0,01;0,02
6,950;-0,02;0,02
6,960;-0,02;0,01
6,970;-0,02;0,01
6,980;-0,03;0,01
6,990;-0,04;0,00
7,000;-0,04;-0,00
7,010;-0,05;-0,00
7,020;-0,05;-0,01
7,030;-0,06;-0,01
7,040;-0,06;-0,02
7,050;-0,07;-0,02
7,060;-0,07;-0,02
7,070;-0,07;-0,03
7,080;-0,08;-0,03
7,090;-0,08;-0,03
7,100;-0,09;-0,04
7,110;-0,09;-0,04
7,120;-0,09;-0,04
7,130;-0,10;-0,05
7,140;-0,10;-0,05
7,150;-0,10;-0,05
7,160;-0,11;-0,06
7,170;-0,11;-0,06
7,180;-0,11;-0,06
7,190;-0,11;-0,06
7,200;-0,12;-0,07
7,210;-0,12;-0,07
7,220;-0,12;-0,07
7,230;-0,13;-0,07
7,240;-0,13;-0,08
7,250;-0,13;-0,08
7,260;-0,13;-0,08
7,270;-0,14;-0,08
7,280;-0,14;-0,08
7,290;-0,14;-0,09
7,300;-0,14;-0,09
7,310;-0,14;-0,09
7,320;-0,14;-0,09
7,330;-0,15;-0,09
7,340;-0,15;-0,09
7,350;-0,15;-0,10
7,360;-0,15;-0,10
7,370;-0,15;-0,10
7,380;-0,15;-0,10
7,390;-0,15;-0,10
7,400;-0,15;-0,10
7,410;-0,16;-0,10
7,420;-0,16;-0,10
7,430;-0,16;-0,10
7,440;-0,16;-0,10
7,450;-0,16;-0,10
7,460;-0,16;-0,11
7,470;-0,16;-0,11
7,480;-0,16;-0,11
7,490;-0,16;-0,11
7,500;-0,15;-0,11
7,510;-0,15;-0,11
7,520;-0,15;-0,11
7,530;-0,15;-0,11
7,540;-0,15;-0,10
7,550;-0,15;-0,10
7,560;-0,15;-0,10
7,570;-0,15;-0,10
7,580;-0,15;-0,10
7,590;-0,14;-0,10
7,600;-0,14;-0,10
7,610;-0,14;-0,10
7,620;-0,14;-0,10
7,630;-0,14;-0,10
7,640;-0,14;-0,10
7,650;-0,13;-0,10
7,660;-0,13;-0,10
7,670;-0,13;-0,09
7,680;-0,13;-0,09
7,690;-0,12;-0,09
7,700;-0,12;-0,09
7,710;-0,12;-0,09
7,720;-0,11;-0,09
7,730;-0,11;-0,08
7,740;-0,11;-0,08
7,750;-0,11;-0,08
7,760;-0,10;-0,08
7,770;-0,10;-0,07
7,780;-0,10;-0,07
7,790;-0,09;-0,07
7,800;-0,09;-0,06
7,810;-0,09;-0,06
7,820;-0,08;-0,06
7,830;-0,08;-0,05
7,840;-0,07;-0,05
7,850;-0,07;-0,05
7,860;-0,07;-0,04
7,870;-0,06;-0,04
7,880;-0,06;-0,04
7,890;-0,05;-0,03
7,900;-0,05;-0,03
7,910;-0,05;-0,03
7,920;-0,04;-0,02
7,930;-0,04;-0,02
7,940;-0,03;-0,02
7,950;-0,03;-0,01
7,960;-0,02;-0,01
7,970;-0,02;-0,01
7,980;-0,01;-0,00
7,990;-0,01;0,00
8,000;-0,00;0,00
8,010;-0,00;0,01
8,020;0,00;0,01
8,030;0,01;0,02
8,040;0,01;0,02
8,050;0,02;0,02
8,060;0,02;0,03
8,070;0,03;0,03
8,080;0,03;0,03
8,090;0,03;0,04
8,100;0,04;0,04
8,110;0,04;0,04
8,120;0,05;0,05
8,130;0,05;0,05
8,140;0,05;0,05
8,150;0,06;0,06
8,160;0,06;0,06
8,170;0,06;0,06
8,180;0,07;0,07
8,190;0,07;0,07
8,200;0,07;0,07
8,210;0,08;0,08
8,220;0,08;0,08
8,230;0,08;0,08
8,240;0,08;0,09
8,250;0,08;0,09
8,260;0,09;0,09
8,270;0,09;0,10
8,280;0,09;0,10
8,290;0,09;0,10
8,300;0,10;0,10
8,310;0,10;0,11
8,320;0,10;0,11
8,330;0,10;0,11
8,340;0,10;0,11
8,350;0,10;0,11
8,360;0,10;0,11
8,370;0,10;0,12
8,380;0,10;0,12
8,390;0,10;0,12
8,400;0,10;0,12
8,410;0,11;0,12
8,420;0,11;0,12
8,430;0,11;0,12
8,440;0,11;0,12
8,450;0,11;0,13
8,460;0,11;0,12
8,470;0,11;0,13
8,480;0,11;0,13
8,490;0,10;0,13
8,500;0,10;0,13
8,510;0,10;0,12
8,520;0,10;0,12
8,530;0,10;0,12
8,540;0,10;0,12
8,550;0,10;0,12
8,560;0,09;0,12
8,570;0,09;0,12
8,580;0,09;0,12
8,590;0,09;0,12
8,600;0,08;0,12
8,610;0,08;0,11
8,620;0,08;0,11
8,630;0,08;0,11
8,640;0,07;0,11
8,650;0,07;0,10
8,660;0,07;0,10
8,670;0,06;0,10
8,680;0,06;0,10
8,690;0,06;0,09
8,700;0,05;0,09
8,710;0,05;0,09
8,720;0,05;0,08
8,730;0,04;0,08
8,740;0,04;0,08
8,750;0,03;0,07
8,760;0,03;0,07
8,770;0,02;0,07
8,780;0,02;0,06
8,790;0,02;0,06
8,800;0,01;0,06
8,810;0,01;0,05
8,820;0,01;0,05
8,830;0,00;0,05
8,840;-0,00;0,04
8,850;-0,01;0,04
8,860;-0,01;0,03
8,870;-0,01;0,03
8,880;-0,02;0,02
8,890;-0,02;0,02
8,900;-0,03;0,02
8,910;-0,03;0,01
8,920;-0,04;0,01
8,930;-0,04;0,01
8,940;-0,04;0,00
8,950;-0,05;-0,00
8,960;-0,05;-0,00
8,970;-0,06;-0,01
8,980;-0,06;-0,01
8,990;-0,06;-0,01
9,000;-0,07;-0,02
9,010;-0,07;-0,02
9,020;-0,08;-0,02
9,030;-0,08;-0,03
9,040;-0,08;-0,03
9,050;-0,08;-0,03
9,060;-0,09;-0,04
9,070;-0,09;-0,04
9,080;-0,09;-0,04
9,090;-0,10;-0,05
9,100;-0,10;-0,05
9,110;-0,10;-0,05
9,120;-0,11;-0,06
9,130;-0,11;-0,06
9,140;-0,11;-0,06
9,150;-0,11;-0,07
9,160;-0,12;-0,07
9,170;-0,12;-0,07
9,180;-0,12;-0,08
9,190;-0,12;-0,08
9,200;-0,12;-0,08
9,210;-0,13;-0,08
9,220;-0,13;-0,08
9,230;-0,13;-0,09
9,240;-0,13;-0,09
9,250;-0,13;-0,09
9,260;-0,13;-0,09
9,270;-0,13;-0,10
9,280;-0,14;-0,10
9,290;-0,14;-0,10
9,300;-0,14;-0,10
9,310;-0,14;-0,10
9,320;-0,14;-0,11
9,330;-0,14;-0,11
9,340;-0,14;-0,11
9,350;-0,14;-0,11
9,360;-0,14;-0,11
9,370;-0,14;-0,11
9,380;-0,14;-0,11
9,390;-0,14;-0,11
9,400;-0,14;-0,12
9,410;-0,14;-0,12
9,420;-0,14;-0,12
9,430;-0,14;-0,12
9,440;-0,14;-0,12
9,450;-0,14;-0,12
9,460;-0,14;-0,12
9,470;-0,14;-0,12
9,480;-0,14;-0,12
9,490;-0,14;-0,12
9,500;-0,14;-0,12
9,510;-0,14;-0,12
9,520;-0,13;-0,12
9,530;-0,13;-0,12
9,540;-0,13;-0,11
9,550;-0,13;-0,11
9,560;-0,13;-0,11
9,570;-0,13;-0,11
9,580;-0,12;-0,11
9,590;-0,12;-0,11
9,600;-0,12;-0,11
9,610;-0,12;-0,10
9,620;-0,12;-0,10
9,630;-0,11;-0,10
9,640;-0,11;-0,10
9,650;-0,11;-0,10
9,660;-0,11;-0,09
9,670;-0,10;-0,09
9,680;-0,10;-0,09
9,690;-0,10;-0,09
9,700;-0,09;-0,08
9,710;-0,09;-0,08
9,720;-0,09;-0,08
9,730;-0,08;-0,07
9,740;-0,08;-0,07
9,750;-0,08;-0,07
9,760;-0,07;-0,06
9,770;-0,07;-0,06
9,780;-0,07;-0,06
9,790;-0,06;-0,06
9,800;-0,06;-0,05
9,810;-0,06;-0,05
9,820;-0,05;-0,05
9,830;-0,05;-0,04
9,840;-0,05;-0,04
9,850;-0,04;-0,04
9,860;-0,04;-0,03
9,870;-0,03;-0,03
9,880;-0,03;-0,02
9,890;-0,03;-0,02
9,900;-0,02;-0,02
9,910;-0,02;-0,01
9,920;-0,02;-0,01
9,930;-0,01;-0,01
9,940;-0,01;-0,01
9,950;-0,00;-0,00
9,960;0,00;0,00
9,970;0,00;0,01
9,980;0,01;0,01
9,990;0,01;0,01
10,000;0,02;0,02
10,010;0,02;0,02
10,020;0,02;0,02
10,030;0,03;0,03
10,040;0,03;0,03
10,050;0,04;0,03
10,060;0,04;0,04
10,070;0,04;0,04
10,080;0,05;0,05
10,090;0,05;0,05
10,100;0,05;0,06
10,110;0,06;0,06
10,120;0,06;0,06
10,130;0,06;0,07
10,140;0,07;0,07
10,150;0,07;0,07
10,160;0,07;0,08
10,170;0,08;0,08
10,180;0,08;0,08
10,190;0,08;0,09
10,200;0,08;0,09
10,210;0,09;0,09
10,220;0,09;0,10
10,230;0,09;0,10
10,240;0,10;0,10
10,250;0,10;0,11
10,260;0,10;0,11
10,270;0,10;0,11
10,280;0,10;0,11
10,290;0,11;0,12
10,300;0,11;0,12
10,310;0,11;0,12
10,320;0,11;0,12
10,330;0,11;0,13
10,340;0,11;0,13
10,350;0,11;0,13
10,360;0,11;0,13
10,370;0,11;0,13
10,380;0,11;0,13
10,390;0,11;0,13
10,400;0,11;0,13
10,410;0,11;0,13
10,420;0,11;0,13
10,430;0,11;0,13
10,440;0,10;0,13
10,450;0,10;0,13
10,460;0,10;0,13
10,470;0,10;0,13
10,480;0,10;0,13
10,490;0,10;0,12
10,500;0,10;0,12
10,510;0,09;0,12
10,520;0,09;0,12
10,530;0,09;0,12
10,540;0,09;0,12
10,550;0,09;0,11
10,560;0,08;0,11
10,570;0,08;0,11
10,580;0,08;0,11
10,590;0,07;0,10
10,600;0,07;0,10
10,610;0,07;0,10
10,620;0,07;0,10
10,630;0,06;0,09
10,640;0,06;0,09
10,650;0,06;0,09
10,660;0,05;0,09
10,670;0,05;0,08
10,680;0,05;0,08
10,690;0,04;0,08
10,700;0,04;0,07
10,710;0,04;0,07
10,720;0,03;0,07
